급여 대상,브랜드,사료 이름,특정 종 대상,가격,g,가격/g,Main Flavor,주원료,Kcal/100g,동물크기,사료종목,제조국,급여연령,유기농 여부,키블크기(mm),급여시기,기타,조단백질,조회분,오메가3,칼슘,조지방,조섬유,오메가6,인,탄수화물(NFE),수분
강아지,로얄캐닌,미니 스타터 마더&베이비독(MINI STARTER MOTHER & BABYDOG),전체,,,,"닭, 칠면조, 오리","쌀, 육분(닭, 칠면조, 오리), 밀글루텐, 동물성지방(닭, 칠면조, 오리), 옥수수, 사탕무박, 혼합광물질류합제, 동물성유도단백질(닭, 칠면조), 어유, 대두유, 프락토올리고당, 가수분해효모(만난올리고당의원료), 낙산나트륨, 효모추출물(베타글루칸의원료), 금잔화추출물, L-카르니틴, 비타민A전구체(베타카로틴), 아미노산제합제, 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제",,소형,건식(반건식),프랑스,0~2,X,10,무관,,32.61,8.7,1.05,1.4,23.91,1.41,5.46,1.1,,
강아지,로얄캐닌,미니 인도어 퍼피(MINI INDOOR PUPPY),전체,,,,"칠면조, 오리, 쌀","육분(닭, 칠면조, 오리), 쌀, 동물성지방(가금류, 돼지), 옥수수, 밀글루텐, 옥수수분말, 사탕무박, 가수분해동물단백질(가금류, 어류), 혼합광물질류합제, 옥수수, 글루텐, 어유, 대두유, 프락토올리고당, 가수분해효모(만난올리고당의 원료), 낙산나트륨, 효모추출물(베타글루칸의원료), 금잔화추출물(루테인의원료), 비타민A, 비타민D3, 비타민E, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 유카추출물, 소르빈산칼륨, 항산화제",,소형,건식(반건식),프랑스,3~10,X,10,무관,,30.24,8.73,0.8,1.42,20.16,1.68,3.87,1.12,,
강아지,로얄캐닌,미니 더마 컴포트(MINI DERMACOMFORT),전체,,,,"돼지, 옥수수, 닭, 칠면조","쌀, 밀글루텐, 소맥분, 동물성지방(돼지), 옥수수글루텐, 귀리, 옥수수, 동물성유도단백질(닭, 칠면조), 혼합광물질류합제, 대두유, 사탕무박, 어유, 아마, 프락토올리고당, 글리세린지방산에스테르, 보리지유, 금잔화추출물, 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제",,소형,건식(반건식),프랑스,11~max,X,10,무관,피부 개선,28.73,6.08,1.26,0.73,18.78,1.55,3.87,0.73,,
강아지,로얄캐닌,맥시 퍼피(MAXI PUPPY),전체,,,,"닭, 칠면조, 오리","육분(닭, 칠면조, 오리), 쌀, 옥수수분말, 밀글루텐, 동물성지방(가금류, 돼지), 옥수수, 소맥분, 가수분해동물단백질(가금류 어류), 사탕무박, 옥수수글루텐, 혼합광물질류합제, 분말셀룰로스, 대두유, 어유, 프락토올리고당, 차전자피, 가수분해효모(만난올리고당의원료), 낙산나트륨, 효모추출물(베타글루칸의원료), 금잔화추출물(루테인의원료), 뮤코다당단백(콘드로이틴의원료), 글루코사민, 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 유카추출물, 소르빈산칼륨, 항산화제",,대형,건식(반건식),프랑스,3~15,X,10,무관,,33.15,8.51,0.61,1.39,17.68,2.87,3.04,1.18,,
강아지,로얄캐닌,미니어처 슈나우저 어덜트,슈나우저,,,,"쌀, 닭, 칠면조, 오리, 옥수수","쌀, 육분(닭, 칠면조, 오리), 옥수수, 밀글루텐, 옥수수글루텐, 동물성지방(가금류), 혼합광물질류합제, 동물성유도단백질(닭, 칠면조), 치커리추출물, 어유, 분말셀룰로스, 차전자피, 프락토올리고당, 대두유, 보리지유, 녹차와포도추출물(폴리페놀의원료), 글루코사민, 금잔화추출물(루테인의원료), 뮤코다당단백(콘드로이틴의원료), 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제",,무관,건식(반건식),프랑스,11~max,X,10,무관,,27.78,8.89,0.62,0.77,13.33,2.22,2.86,0.62,,
강아지,로얄캐닌,미니어처 슈나우저 퍼피,슈나우저,,,,"닭, 칠면조, 오리, 옥수수, 쌀","육분(닭, 칠면조, 오리), 옥수수, 밀글루텐, 쌀, 소맥분, 동물성지방(닭, 칠면조, 오리), 밀, 옥수수분말, 옥수수글루텐, 유도단백질(닭, 칠면조), 치커리, 혼합광물질류합제, 어유, 대두유, 프락토올리고당, 차전자피, 효모, 보리지유, 효모추출물, 금잔화추출물, 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 유카추출물, 소르빈산칼륨, 항산화제",,무관,건식(반건식),프랑스,3~10,X,10,무관,,33.33,8.33,0.69,1.33,15.56,2,3.27,1,,
강아지,로얄캐닌,말티즈 어덜트(Maltese Adult),말티즈,,,,"옥수수, 쌀, 닭, 칠면조, 오리","옥수수, 쌀, 육분(닭, 칠면조, 오리), 동물성지방(가금류, 돼지), 동물성유도단백질(닭, 칠면조), 육분(돼지), 옥수수분말, 밀글루텐, 치커리, 대두유, 효모, 혼합광물질류합제, 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 제올라이트, 녹차추출물(폴리페놀), 소르빈산칼륨, 항산화제",,무관,건식(반건식),프랑스,11~max,X,,무관,,26.66,6.11,0.44,,20,1.56,2.89,,,
강아지,로얄캐닌,시츄 어덜트,시츄,,,,"쌀, 닭, 칠면조, 오리","쌀, 육분(닭, 칠면조, 오리), 동물성지방(가금류), 밀글루텐, 동물성유도단백질(닭, 칠면조), 분말셀룰로스, 사탕무박, 혼합광물질류합제, 어유, 대두유, 프락토올리고당, 보리지유, 금잔화추출물(루테인의원료), 녹차와포도추출물(폴리페놀의원료), 글루코사민, 뮤코다당단백(콘드로이틴의 원료), 비타민A, 비타민D3, 비타민E, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제",390.5,무관,건식(반건식),프랑스,11~max,X,10,무관,방파제키블,24.44,6.22,0.63,,20,4.78,3.81,,,
강아지,로얄캐닌,푸들 어덜트,푸들,,,,"옥수수, 닭, 칠면조, 오리","옥수수, 육분(닭, 칠면조, 오리), 밀글루텐, 동물성지방(가금류), 쌀, 옥수수분말, 옥수수글루텐, 동물성유도단백질(닭, 칠면조), 사탕무박, 대두유, 혼합광물질류합제, 어유, 효모, 분말셀룰로스, 프락토올리고당, 보리지유, 녹차와포도추출물(폴리페놀의 원료), 글루코사민, 금잔화추출물(루테인의 원료), 뮤코다당단백(콘드로이틴의 원료), 비타민A, 비타민D3, 비타민E, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제",387.3,무관,건식(반건식),프랑스,11~max,X,10,무관,,33.33,5.89,0.83,0.89,21.11,2.22,4.87,0.67,,
강아지,로얄캐닌,푸들 퍼피,푸들,,,,"닭, 오리, 칠면조, 쌀, 옥수수","육분(닭, 오리, 칠면조), 밀글루텐, 동물성지방(가금류, 돼지), 옥수수, 쌀, 옥수수글루텐, 밀, 동물성유도단백질(닭, 칠면조), 옥수수분말, 사탕무박, 혼합광물질류합제, 어유, 효모, 대두유, 프락토올리고당, 차전자피, 가수분해효모, 보리지유, 금잔화추출물(루테인의원료), 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 제올라이트, 유카추출물, 소르빈산칼륨, 항산화제",,무관,건식(반건식),프랑스,3~10,X,10,무관,,36.67,7.89,0.88,1.33,21.11,1.56,4.38,0.99,,
